"State","District"
"Andaman and Nicobar","Andaman and Nicobar"
"Andaman and Nicobar","Nicobar Islands"
"Andaman and Nicobar","North and Middle Andaman"
"Andaman and Nicobar","South Andaman"
"Andhra Pradesh","Adilabad"
"Andhra Pradesh","Anantapur"
"Andhra Pradesh","Chittoor"
"Andhra Pradesh","Cuddapah"
"Andhra Pradesh","East Godavari"
"Andhra Pradesh","Guntur"
"Andhra Pradesh","Hyderabad"
"Andhra Pradesh","Karimnagar"
"Andhra Pradesh","Khammam"
"Andhra Pradesh","Krishna"
"Andhra Pradesh","Kurnool"
"Andhra Pradesh","Mahbubnagar"
"Andhra Pradesh","Medak"
"Andhra Pradesh","Nalgonda"
"Andhra Pradesh","Nellore"
"Andhra Pradesh","Nizamabad"
"Andhra Pradesh","Prakasam"
"Andhra Pradesh","Rangareddi"
"Andhra Pradesh","Srikakulam"
"Andhra Pradesh","Vishakhapatnam"
"Andhra Pradesh","Vizianagaram"
"Andhra Pradesh","Warangal"
"Andhra Pradesh","West Godavari"
"Arunachal Pradesh","Anjaw"
"Arunachal Pradesh","Changlang"
"Arunachal Pradesh","Dibang Valley"
"Arunachal Pradesh","East Kameng"
"Arunachal Pradesh","East Siang"
"Arunachal Pradesh","Kurung Kumey"
"Arunachal Pradesh","Lohit"
"Arunachal Pradesh","Lower Dibang Valley"
"Arunachal Pradesh","Lower Subansiri"
"Arunachal Pradesh","Papum Pare"
"Arunachal Pradesh","Tawang"
"Arunachal Pradesh","Tirap"
"Arunachal Pradesh","Upper Siang"
"Arunachal Pradesh","Upper Subansiri"
"Arunachal Pradesh","West Kameng"
"Arunachal Pradesh","West Siang"
"Assam","Baksa"
"Assam","Barpeta"
"Assam","Bongaigaon"
"Assam","Cachar"
"Assam","Chirang"
"Assam","Darrang"
"Assam","Dhemaji"
"Assam","Dhuburi"
"Assam","Dibrugarh"
"Assam","Goalpara"
"Assam","Golaghat"
"Assam","Hailakandi"
"Assam","Jorhat"
"Assam","Kamrup"
"Assam","Kamrup Metropolitan"
"Assam","Karbi Anglong"
"Assam","Karimganj"
"Assam","Kokrajhar"
"Assam","Lakhimpur"
"Assam","Marigaon"
"Assam","Nagaon"
"Assam","Nalbari"
"Assam","North Cachar Hills"
"Assam","Sibsagar"
"Assam","Sonitpur"
"Assam","Tinsukia"
"Assam","Udalguri"
"Bihar","Araria"
"Bihar","Arwal"
"Bihar","Aurangabad"
"Bihar","Banka"
"Bihar","Begusarai"
"Bihar","Bhabua"
"Bihar","Bhagalpur"
"Bihar","Bhojpur"
"Bihar","Buxar"
"Bihar","Darbhanga"
"Bihar","Gaya"
"Bihar","Gopalganj"
"Bihar","Jamui"
"Bihar","Jehanabad"
"Bihar","Katihar"
"Bihar","Khagaria"
"Bihar","Kishanganj"
"Bihar","Lakhisarai"
"Bihar","Madhepura"
"Bihar","Madhubani"
"Bihar","Munger"
"Bihar","Muzaffarpur"
"Bihar","Nalanda"
"Bihar","Nawada"
"Bihar","Pashchim Champaran"
"Bihar","Patna"
"Bihar","Purba Champaran"
"Bihar","Purnia"
"Bihar","Rohtas"
"Bihar","Saharsa"
"Bihar","Samastipur"
"Bihar","Saran"
"Bihar","Sheikhpura"
"Bihar","Sheohar"
"Bihar","Sitamarhi"
"Bihar","Siwan"
"Bihar","Supaul"
"Bihar","Vaishali"
"Chandigarh","Chandigarh"
"Chhattisgarh","Balod"
"Chhattisgarh","Baloda Bazar"
"Chhattisgarh","Balrampur"
"Chhattisgarh","Bastar"
"Chhattisgarh","Bemetara"
"Chhattisgarh","Bijapur"
"Chhattisgarh","Bilaspur"
"Chhattisgarh","Dantewada"
"Chhattisgarh","Dhamtari"
"Chhattisgarh","Durg"
"Chhattisgarh","Gariaband"
"Chhattisgarh","Janjgir-Champa"
"Chhattisgarh","Jashpur"
"Chhattisgarh","Kanker"
"Chhattisgarh","Kawardha"
"Chhattisgarh","Kondagaon"
"Chhattisgarh","Korba"
"Chhattisgarh","Koriya"
"Chhattisgarh","Mahasamund"
"Chhattisgarh","Mungeli"
"Chhattisgarh","Narayanpur"
"Chhattisgarh","Raigarh"
"Chhattisgarh","Raipur"
"Chhattisgarh","Raj Nandgaon"
"Chhattisgarh","Sukma"
"Chhattisgarh","Surajpur"
"Chhattisgarh","Surguja"
"Dadra and Nagar Haveli","Dadra and Nagar Haveli"
"Delhi","Delhi"
"Goa","Goa"
"Goa","North Goa"
"Goa","South Goa"
"Gujarat","Ahmadabad"
"Gujarat","Amreli"
"Gujarat","Anand"
"Gujarat","Banas Kantha"
"Gujarat","Bharuch"
"Gujarat","Bhavnagar"
"Gujarat","Dahod"
"Gujarat","Gandhinagar"
"Gujarat","Jamnagar"
"Gujarat","Junagadh"
"Gujarat","Kachchh"
"Gujarat","Kheda"
"Gujarat","Mahesana"
"Gujarat","Narmada"
"Gujarat","Navsari"
"Gujarat","Panch Mahals"
"Gujarat","Patan"
"Gujarat","Porbandar"
"Gujarat","Rajkot"
"Gujarat","Sabar Kantha"
"Gujarat","Surat"
"Gujarat","Surendranagar"
"Gujarat","Tapi"
"Gujarat","The Dangs"
"Gujarat","Vadodara"
"Gujarat","Valsad"
"Haryana","Ambala"
"Haryana","Bhiwani"
"Haryana","Faridabad"
"Haryana","Fatehabad"
"Haryana","Gurgaon"
"Haryana","Hisar"
"Haryana","Jhajjar"
"Haryana","Jind"
"Haryana","Kaithal"
"Haryana","Karnal"
"Haryana","Kurukshetra"
"Haryana","Mahendragarh"
"Haryana","Mewat"
"Haryana","Palwal"
"Haryana","Panchkula"
"Haryana","Panipat"
"Haryana","Rewari"
"Haryana","Rohtak"
"Haryana","Sirsa"
"Haryana","Sonepat"
"Haryana","Yamuna Nagar"
"Himachal Pradesh","Bilaspur"
"Himachal Pradesh","Chamba"
"Himachal Pradesh","Hamirpur"
"Himachal Pradesh","Kangra"
"Himachal Pradesh","Kinnaur"
"Himachal Pradesh","Kullu"
"Himachal Pradesh","Lahul and Spiti"
"Himachal Pradesh","Mandi"
"Himachal Pradesh","Shimla"
"Himachal Pradesh","Sirmaur"
"Himachal Pradesh","Solan"
"Himachal Pradesh","Una"
"Jammu and Kashmir","Anantnag (Kashmir South)"
"Jammu and Kashmir","Bagdam"
"Jammu and Kashmir","Bandipora"
