APY_CROP,MAPSPAM_CROP
Apple,temperate fruit
Arcanut (Processed),rest of crops
Arecanut,rest of crops
Arhar/Tur,pigeonpea
Ash Gourd,vegetables
Atcanut (Raw),rest of crops
Bajra,pearl millet
Banana,banana
Barley,barley
Beans & Mutter(Vegetable),vegetables
Beet Root,vegetables
Ber,tropical fruit
Bhindi,vegetables
Bitter Gourd,vegetables
Blackgram,other pulses
Black pepper,rest of crops
Bottle Gourd,vegetables
Brinjal,vegetables
Cabbage,vegetables
Cardamom,rest of crops
Carrot,vegetables
Cashewnut,rest of crops
Cashewnut Processed,rest of crops
Cashewnut Raw,rest of crops
Castor seed,other oil crops
Cauliflower,vegetables
Citrus Fruit,tropical fruit
Coconut,coconut
Coffee,coffee
Coriander,rest of crops
Cotton(lint),cotton
Cowpea(Lobia),cowpea
Cucumber,vegetables
Drum Stick,vegetables
Dry chillies,rest of crops
Dry ginger,rest of crops
Garlic,vegetables
Ginger,rest of crops
Gram,chickpea
Grapes,temperate fruit
Groundnut,groundnut
Guar seed,rest of crops
Horse-gram,other pulses
Jack Fruit,tropical fruit
Jowar,sorghum
Jute,other fibre crops
Jute & mesta,other fibre crops
Kapas,cotton
Khesari,other pulses
Korra,other cereals
Lab-Lab,vegetables
Linseed,other oil crops
Litchi,tropical fruit
Maize,maize
Mango,tropical fruit
Masoor,lentil
Mesta,other fibre crops
Moong(Green Gram),other pulses
Moth,other pulses
Niger seed,other oil crops
Oilseeds total,NA
Onion,vegetables
Orange,tropical fruit
Other Cereals & Millets,other cereals
Other Citrus Fruit,tropical fruit
Other Dry Fruit,NA
other fibres,other fibre crops
Other Fresh Fruits,NA
Other Kharif pulses,other pulses
other misc. pulses,other pulses
other oilseeds,other oil crops
Other  Rabi pulses,other pulses
Other Vegetables,vegetables
Paddy,rice
Papaya,tropical fruit
Peach,temperate fruit
Pear,temperate fruit
Peas & beans (Pulses),other pulses
Peas  (vegetable),vegetables
Pineapple,tropical fruit
Plums,temperate fruit
Pome Fruit,temperate fruit
Pome Granet,tropical fruit
Potato,potato
Pulses total,NA
Pump Kin,vegetables
Ragi,finger millet
Rapeseed &Mustard,rapeseed
Redish,vegetables
Ribed Guard,vegetables
Rice,rice
Rubber,rest of crops
Safflower,other oil crops
Samai,other cereals
Sannhamp,NA
Sesamum,sesameseed
Small millets,other cereals
Snak Guard,vegetables
Soyabean,soybean
Sugarcane,sugarcane
Sunflower,sunflower
Sweet potato,sweet potato
Tapioca,cassava
Tea,tea
Tobacco,tobacco
Tomato,vegetables
Turmeric,rest of crops
Turnip,vegetables
Urad,other pulses
Varagu,other cereals
Water Melon,tropical fruit
Wheat,wheat
Yam,yams
